1	,	COOK, Keith	,	GBR	,	SALLE HOLYROOD
2	,	BARWELL, Peter	,	GBR	,	ZFW
3	,	ALEXANDER, David	,	IRL	,	NOTTINGHAM CAVALIE
3	,	MOURRAIN, Aymeric	,	FRA	,	ACADEMY
5	,	BILLING, Matthew	,	GBR	,	SALLE BOSTON
6	,	BROWN, Stephen	,	IRL	,	QUB FENCING
7	,	ROSOWSKY, Husayn	,	GBR	,	ACADEMY
8	,	JONES, Alexander	,	GBR	,	SALLE KISS
9	,	DE LANG, Kieran James	,	GBR	,	SALLE BOSTON
10	,	CHARRA, Thibault	,	FRA	,	ACADEMY
11	,	BROSNAN, James	,	GBR	,	ACADEMY
12	,	JOLLEY, Isaac	,	GBR	,	CHICHESTER FC
13	,	CORLETT, Thomas	,	GBR	,	ZFW
14	,	PALLIER, Sebastian	,	GBR	,	FCL
14	,	RIDSDALE, Ethan	,	GBR	,	RUSSELL SWORDS
16	,	ABIDOGUN, Kola	,	GBR	,	SALLE BOSTON
17	,	MORRIS, Richard	,	GBR	,	CAMBRIDGE UNIVERSI
18	,	HOWLETT, Edmund	,	GBR	,	FERNWOOD SWORD CLU
19	,	SCHLINDWEIN, Alex	,	GBR	,	CAMBRIDGE UNIVERSI
20	,	OSTACCHINI, Glen	,	GBR	,	SALLE BOSTON
21	,	STANDEN, David	,	GBR	,	ZFW
22	,	JOHNSTON, Alastair	,	IRL	,	SALLE HOLYROOD
23	,	SUMMERBELL, Daniel	,	GBR	,	CAMBRIDGE UNIVERSI
24	,	SYKES, Lachlan	,	IRL	,	u/a 3
25	,	ROBINSON, Daniel	,	GBR	,	HEREFORDSHIRE FC
26	,	ATTIAS, Ben	,	GBR	,	SALLE OXON
27	,	HEAD, Connor	,	GBR	,	SALLE BOSTON
28	,	FINCH, Samuel	,	GB	,	FIGHTING FIT
29	,	SHARMAN, Conor	,	GBR	,	LOUGHBOROUGH UNIVE
30	,	BAIGNERES, Jean-Baptiste	,	GBR	,	CAMDEN
31	,	FOREY-MILLER, Jacob	,	GBR	,	SALLE OXON
32	,	MOLLARD, Christopher	,	GBR	,	SAXON
33	,	PRICE, William	,	GBR	,	SAXONS
34	,	LEWIS, Celyn	,	GBR	,	CARDIFF
35	,	LENNON, Christopher	,	GBR	,	SALLE BOSTON
36	,	DOUGLAS, Jack	,	GBR	,	SALLE HOLYROOD
37	,	WILLIAMS, Rob	,	GBR	,	BATH SWORD
38	,	DI FRANCESCO, Hugo	,	GBR	,	ACADEMY
39	,	BROUGHAM, Sam	,	GBR	,	LOUTH
40	,	DOOTSON, Nick	,	GBR	,	SALLE HOLYROOD
41	,	REES, Luke	,	GBR	,	LANCASTER UNIVERSI
41	,	WOOLLARD, Jonathan	,	GBR	,	WALLACE FENCING
43	,	MORT, Nick	,	GBR	,	SAXON
44	,	CONROY, Stephen	,	GBR	,	NORTHAMPTON
45	,	GRAY, Harry	,	GBR	,	CHICHESTER FC
46	,	MULCAHY, Isaac	,	GBR	,	BATH SWORD
47	,	BROUGHTON, Charlie	,	GBR	,	SALLE HOLYROOD
48	,	RUTHERFORD, James	,	GBR	,	FERNWOOD SWORD CLU
49	,	WEBSTER, John	,	GBR	,	ABERDEEN
50	,	MCANDREW, Finlay	,	GBR	,	SALLE HOLYROOD
50	,	SADIQ, Hussain	,	GBR	,	ACADEMY
52	,	VALETTI, Luca	,	RSA	,	FCL
53	,	FITTON, Matthew	,	GBR	,	SHEFFIELD BUCCANEE
54	,	BROWN, Bomba	,	GBR	,	CYRANO
